"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @CJDkana: Happy Valentine's Day!<ed><U+00A0><U+00BC><ed><U+00BD><U+00AB><ed><U+00A0><U+00BD><ed><U+00B2><U+009D><ed><U+00A0><U+00BD><ed><U+00B2><U+008B><ed><U+00A0><U+00BC><ed><U+00BE><U+00B6><ed><U+00A0><U+00BC><ed><U+00BE><U+0080>

#cyberjapan
#cyberjapandancers
#valentine https://t.co/flYPdQJulq",FALSE,0,NA,2017-02-16 03:32:57,FALSE,NA,"832070231853916160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","n004funk",38,TRUE,FALSE,NA,NA
"2","RT @Lakhani_29: also, hope y'all have a good night. My #valentine won't be here until tomorrow... #directdeposit",FALSE,0,NA,2017-02-16 03:32:55,FALSE,NA,"832070226460209156",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Lakhani_29",2,TRUE,FALSE,NA,NA
"3","RT @PiggyBankGirls: The $250 prize for the 2nd position of our #Valentine #PiggyPrincess #Contest goes to… @VicAlouqua! https://t.co/z5Z208…",FALSE,0,NA,2017-02-16 03:32:44,FALSE,NA,"832070180301844480",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Serpent_Six",26,TRUE,FALSE,NA,NA
"4","RT @KimkanaMagazine: <U+0E2A><U+0E35><U+0E2B><U+0E19><U+0E49><U+0E32><U+0E1E><U+0E35><U+0E48><U+0E40><U+0E01><U+0E14><U+0E15><U+0E2D><U+0E19><U+0E40><U+0E2B><U+0E47><U+0E19><U+0E1C><U+0E25><U+0E07><U+0E32><U+0E19><U+0E16><U+0E48><U+0E32><U+0E22><U+0E41><U+0E1A><U+0E1A><U+0E18><U+0E35><U+0E21> #Valentine <U+0E02><U+0E2D><U+0E07> #<U+0E1F><U+0E25><U+0E38><U+0E4A><U+0E04><U+0E01><U+0E30><U+0E25><U+0E48><U+0E2D><U+0E19> #TheFaceThailandSeason3 https://t.co/8BSZ9vrk7o",FALSE,0,NA,2017-02-16 03:32:41,FALSE,NA,"832070167907610625",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","borbowww",173,TRUE,FALSE,NA,NA
"5","RT @OnlineWitness: #ReneeZawawi <ed><U+00A0><U+00BD><ed><U+00B2><U+009C> #HappyHour<ed><U+00A0><U+00BC><ed><U+00BD><U+00B8> #Valentine's All year long <ed><U+00A0><U+00BC><ed><U+00BE><U+0099><U+FE0F> Keep America in Love https://t.co/yK5O8qEll8 https://t.co/zsMnR…",FALSE,0,NA,2017-02-16 03:32:31,FALSE,NA,"832070125364797440",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","omiko_sato",19,TRUE,FALSE,NA,NA
"6","RT @OnlineWitness: #ReneeZawawi <ed><U+00A0><U+00BD><ed><U+00B2><U+009C> #HappyHour<ed><U+00A0><U+00BC><ed><U+00BD><U+00B8> #Valentine's All year long <ed><U+00A0><U+00BC><ed><U+00BE><U+0099><U+FE0F> Keep America in Love https://t.co/yK5O8qEll8 https://t.co/zsMnR…",FALSE,0,NA,2017-02-16 03:32:31,FALSE,NA,"832070125348020226",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mrkiko54",19,TRUE,FALSE,NA,NA
"7","RT @OnlineWitness: #ReneeZawawi <ed><U+00A0><U+00BD><ed><U+00B2><U+009C> #HappyHour<ed><U+00A0><U+00BC><ed><U+00BD><U+00B8> #Valentine's All year long <ed><U+00A0><U+00BC><ed><U+00BE><U+0099><U+FE0F> Keep America in Love https://t.co/yK5O8qEll8 https://t.co/zsMnR…",FALSE,0,NA,2017-02-16 03:32:30,FALSE,NA,"832070120482578432",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","prettygems",19,TRUE,FALSE,NA,NA
"8","RT @OnlineWitness: #ReneeZawawi <ed><U+00A0><U+00BD><ed><U+00B2><U+009C> #HappyHour<ed><U+00A0><U+00BC><ed><U+00BD><U+00B8> #Valentine's All year long <ed><U+00A0><U+00BC><ed><U+00BE><U+0099><U+FE0F> Keep America in Love https://t.co/yK5O8qEll8 https://t.co/zsMnR…",FALSE,0,NA,2017-02-16 03:32:30,FALSE,NA,"832070120247668737",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","zito_neto_",19,TRUE,FALSE,NA,NA
"9","RT @OnlineWitness: #ReneeZawawi <ed><U+00A0><U+00BD><ed><U+00B2><U+009C> #HappyHour<ed><U+00A0><U+00BC><ed><U+00BD><U+00B8> #Valentine's All year long <ed><U+00A0><U+00BC><ed><U+00BE><U+0099><U+FE0F> Keep America in Love https://t.co/yK5O8qEll8 https://t.co/zsMnR…",FALSE,0,NA,2017-02-16 03:32:30,FALSE,NA,"832070120180633602",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Justaddhustle",19,TRUE,FALSE,NA,NA
"10","RT @OnlineWitness: #ReneeZawawi <ed><U+00A0><U+00BD><ed><U+00B2><U+009C> #HappyHour<ed><U+00A0><U+00BC><ed><U+00BD><U+00B8> #Valentine's All year long <ed><U+00A0><U+00BC><ed><U+00BE><U+0099><U+FE0F> Keep America in Love https://t.co/yK5O8qEll8 https://t.co/zsMnR…",FALSE,0,NA,2017-02-16 03:32:30,FALSE,NA,"832070120180584449",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","taynahmiranda",19,TRUE,FALSE,NA,NA
